City,Price
Fatehabad,88.55 ₹/L
Fatehgarh Sahib,88.06 ₹/L
Fatehpur,88.48 ₹/L
Fazilka,87.92 ₹/L
Firozabad,87.72 ₹/L
Firozpur,88.17 ₹/L
Gadag,91.88 ₹/L
Gadchiroli,91.35 ₹/L
Gajapati,94.20 ₹/L
Ganderbal,87.44 ₹/L
Gandhi Nagar,90.38 ₹/L
Ganganagar,91.72 ₹/L
Ganjam,94.10 ₹/L
Garhwa,94.29 ₹/L
Gariyaband,94.00 ₹/L
Gautam Budh Nagar,88.01 ₹/L
Gaya,92.48 ₹/L
Ghaziabad,87.74 ₹/L
Ghazipur,89.00 ₹/L
Gir Somnath,91.73 ₹/L
Giridih,93.52 ₹/L
Goalpara,90.28 ₹/L
Godda,93.05 ₹/L
Golaghat,89.43 ₹/L
Gomati,87.10 ₹/L
Gonda,87.81 ₹/L
Gondia,91.95 ₹/L
Gopalganj,93.05 ₹/L
Gorakhpur,88.23 ₹/L
Greater Mumbai,90.03 ₹/L
Gulbarga,91.47 ₹/L
Gumla,93.57 ₹/L
Guna,92.37 ₹/L
Guntur,97.47 ₹/L
Gurdaspur,87.98 ₹/L
Gurgaon,87.82 ₹/L
Gwalior,92.51 ₹/L
Hailakandi,90.16 ₹/L
Hamirpur,85.89 ₹/L
Hanumangarh,91.72 ₹/L
Hapur,87.80 ₹/L
Harda,92.08 ₹/L
Hardoi,88.40 ₹/L
Haridwar,87.63 ₹/L
Hassan,90.77 ₹/L
Hathras,87.57 ₹/L
Haveri,91.94 ₹/L
Hazaribagh,93.66 ₹/L
Hingoli,92.03 ₹/L
Hisar,88.08 ₹/L
Hojai,90.29 ₹/L
Hooghly,92.41 ₹/L
Hoshangabad,91.99 ₹/L
Hoshiarpur,87.69 ₹/L
Howrah,92.01 ₹/L
Hyderabad,95.70 ₹/L
Idukki,95.97 ₹/L
Indore,91.94 ₹/L
Jabalpur,92.18 ₹/L
Jagatsinghpur,92.21 ₹/L
Jagitial,96.54 ₹/L
Jahanabad,91.87 ₹/L
Jahbua,92.37 ₹/L
Jaipur,90.21 ₹/L
Jaisalmer,91.39 ₹/L
Jajpur,92.97 ₹/L
Jalandhar,87.38 ₹/L
Jalaun,88.26 ₹/L
Jalgaon,91.23 ₹/L
Jalna,92.03 ₹/L
Jalor,91.73 ₹/L
Jalpaiguri,91.73 ₹/L
Jammu,83.33 ₹/L
Jamnagar,90.06 ₹/L
Jamtara,93.16 ₹/L
Jamui,92.85 ₹/L
Jangaon,95.81 ₹/L
Janjgir,93.61 ₹/L
Jashpur,94.61 ₹/L
Jaunpur,88.92 ₹/L
Jayashankar Bhupalpa,95.38 ₹/L
Jhajjar,88.13 ₹/L
Jhalawar,91.29 ₹/L
Jhansi,88.16 ₹/L
Jhargram,92.77 ₹/L
Jharsuguda,92.82 ₹/L
Jhunjhunun,91.57 ₹/L
Jind,87.92 ₹/L
Jiribam,87.06 ₹/L
Jodhpur,89.95 ₹/L
Jogulamba Gadwal,97.10 ₹/L
Jorhat,89.85 ₹/L
Junagadh,91.21 ₹/L
Kaimur,92.89 ₹/L
Kaithal,87.71 ₹/L
Kakching,85.50 ₹/L
Kalahandi,94.19 ₹/L
Kalimpong,91.96 ₹/L
