City,Price,Latitude,Longitude,Distance_from_Toranagallu_km
Charki Dadri,88.30 ₹/L,24.37878,83.37838,
Chatra,93.92 ₹/L,24.20376,84.87032,
Chennai,92.49 ₹/L,13.066682,80.224741,
Chhatarpur,93.18 ₹/L,24.919816,79.583895,
Chhindware,93.39 ₹/L,22.687581,79.370366,
Chhotaudepur,90.57 ₹/L,22.687581,79.370366,
Chikkaballapura,91.56 ₹/L,13.567501,77.864941,
Chikmagalur,91.21 ₹/L,13.325665,75.774028,
Chirang,89.39 ₹/L,26.654717,90.586411,
Chitradurga,92.10 ₹/L,14.225618,76.398212,
Chitrakut,88.72 ₹/L,22.687581,79.370366,
Chittaurgarh,89.88 ₹/L,24.880612,74.622262,
Chittoor,98.17 ₹/L,13.21426,79.098711,
Churachandpur,85.60 ₹/L,24.33353,93.66999,
Churu,91.73 ₹/L,28.44841,74.637236,
Coimbatore,92.83 ₹/L,11.012683,76.989487,
Cooch Bihar,93.04 ₹/L,25.708465,85.573398,
Cuddalore,94.14 ₹/L,11.756931,79.763174,
Cuddapah,96.84 ₹/L,14.475873,78.823521,
Cuttack,92.81 ₹/L,20.469426,85.868048,
Dahod,91.23 ₹/L,22.834452,74.259128,
Dakshin Dinajpur,92.55 ₹/L,25.350213,88.594593,
Dakshin Kannad,90.79 ₹/L,20.25784,75.138,
Daman,87.94 ₹/L,20.42149,72.840775,
Damoh,92.50 ₹/L,23.835704,79.440425,
Dantewada,95.06 ₹/L,18.878011,80.785304,
Darbhanga,92.23 ₹/L,26.145605,85.897902,
Darjeeling,92.00 ₹/L,27.040622,88.265729,
Darrang,90.18 ₹/L,26.622899,92.798126,
Datia,92.30 ₹/L,25.665322,78.46099,
Dausa,90.88 ₹/L,26.899626,76.332493,
Davangere,92.10 ₹/L,14.458879,75.919192,
Dehradun,88.39 ₹/L,30.327552,78.035881,
Delhi Shahdara,87.67 ₹/L,24.62422,77.59341,
Deogarh,92.29 ₹/L,21.53768,84.73372,
Deoria,87.67 ₹/L,26.502359,83.779125,
Devbhumi Dwarka,90.88 ₹/L,22.20253,69.65498,
Dewas,91.83 ₹/L,22.96782,76.052201,
Dhalai,85.38 ₹/L,23.884518,91.940405,
Dhamtari,93.62 ₹/L,20.70646,81.549457,
Dhanbad,92.93 ₹/L,23.788259,86.438107,
Dhar,92.81 ₹/L,22.59786,75.303813,
Dharmapuri,94.02 ₹/L,12.126506,78.158456,
Dharwad,90.84 ₹/L,15.445145,75.012456,
Dhaulpur,90.51 ₹/L,26.698147,77.899695,
Dhemaji,90.92 ₹/L,27.48333,94.58333,
Dhenkanal,93.59 ₹/L,20.663031,85.59813,
Dhuburi,90.13 ₹/L,26.020831,89.982315,
Dhule,90.99 ₹/L,20.911844,74.777367,
Dibang Valley,82.21 ₹/L,29.011502,95.834809,
Dibrugarh,89.79 ₹/L,27.470515,94.912613,
Dima Hasao,91.27 ₹/L,25.357816,93.04157,
Dimapur,88.22 ₹/L,25.908568,93.721443,
Dindigul,92.93 ₹/L,10.362932,77.975949,
Dindori,93.40 ₹/L,22.94321,81.07781,
Diu,88.88 ₹/L,20.717552,70.986991,
Doda,85.46 ₹/L,33.14875,75.54611,
Dumka,93.36 ₹/L,24.26778,87.24855,
Dungarpur,91.57 ₹/L,23.84306,73.71466,
Durg,93.72 ₹/L,21.195472,81.287893,
East Champaran,92.70 ₹/L,9.852711,77.204013,
East Delhi,87.67 ₹/L,28.625318,77.294118,
East District,89.05 ₹/L,27.287035,88.678054,
East Garo Hills,87.09 ₹/L,25.710255,90.63431,
East Godavari,96.94 ₹/L,16.971918,82.240792,
East Imphal,85.35 ₹/L,24.782008,93.937654,
East Jaintia Hills,87.50 ₹/L,25.320899,92.374996,
East Khameng,82.12 ₹/L,9.852711,77.204013,
East Khasi Hills,87.88 ₹/L,28.625318,77.294118,
East Siang,81.32 ₹/L,27.994115,95.135078,
East Singhbhum,92.55 ₹/L,9.852711,77.204013,
Ernakulam,94.48 ₹/L,9.985599,76.28172,
Erode,92.97 ₹/L,11.339876,77.706479,
Etah,87.84 ₹/L,27.55879,78.65692,
Etawah,88.18 ₹/L,26.772135,79.019057,
Faizabad,88.44 ₹/L,26.768467,82.121675,
Faridabad,88.40 ₹/L,28.417987,77.307538,
Faridkot,87.54 ₹/L,30.676937,74.758445,
Farrukkhabad,88.38 ₹/L,22.687581,79.370366,
Fatehabad,88.55 ₹/L,29.513065,75.450922,
Fatehgarh Sahib,88.06 ₹/L,30.60392,76.404501,
Fatehpur,88.48 ₹/L,25.929621,80.806773,
Fazilka,87.92 ₹/L,30.404942,74.025194,
Firozabad,87.72 ₹/L,27.148959,78.392458,
Firozpur,88.17 ₹/L,30.930063,74.613389,
Gadag,91.88 ₹/L,15.252699,75.671806,
Gadchiroli,91.35 ₹/L,19.684252,80.136083,
Gajapati,94.20 ₹/L,19.220185,84.187314,
Ganderbal,87.44 ₹/L,34.22992,74.7783,
Gandhi Nagar,90.38 ₹/L,23.224755,72.646186,
Ganganagar,91.72 ₹/L,29.912523,73.875591,
Ganjam,94.10 ₹/L,19.315097,84.794319,
Garhwa,94.29 ₹/L,24.16291,83.81037,
Gariyaband,94.00 ₹/L,22.687581,79.370366,
Gautam Budh Nagar,88.01 ₹/L,27.42397,77.09922,
Gaya,92.48 ₹/L,24.790346,85.000537,
Ghaziabad,87.74 ₹/L,28.686014,77.432251,
Ghazipur,89.00 ₹/L,25.581881,83.576469,
Gir Somnath,91.73 ₹/L,20.91287,70.3671,
Giridih,93.52 ₹/L,24.180771,86.310204,
Goalpara,90.28 ₹/L,26.178387,90.624843,
Godda,93.05 ₹/L,24.825824,87.213282,
Golaghat,89.43 ₹/L,26.510813,93.967605,
Gomati,87.10 ₹/L,27.79532,84.80889,
Gonda,87.81 ₹/L,27.133939,81.962013,
Gondia,91.95 ₹/L,21.455147,80.196022,
Gopalganj,93.05 ₹/L,26.465307,84.444625,
Gorakhpur,88.23 ₹/L,26.748509,83.36944,
Greater Mumbai,90.03 ₹/L,19.131577,72.891418,
Gulbarga,91.47 ₹/L,17.235221,76.552523,
Gumla,93.57 ₹/L,23.04156,84.54396,
